"id","user_id","name","description","purchase_within","created_at","updated_at"
1,1,"Tablet","Lorem ipsum dolor sit amet, consectetur adipiscing elit. Proin tortor nulla, blandit vel ornare quis, suscipit vel magna.Aenean ultrices, metus eu auctor dapibus, quam libero interdum metus, consectetur fringilla justo augue vel sapien. Nulla facilisi. Aenean ultrices, metus eu auctor dapibus, quam libero interdum metus, consectetur fringilla",0,NULL,NULL
2,4,"TV","I'm looking for a new TV, preferably 42\" or larger, 1080p. Not in the market for anything 3D. I would like something that I can connect a surround sound system to.",0,1366660285,1366660285
3,5,"Stroller",";laksjdf;lasjdf;lajksd
",0,1366660684,1366660684
4,6,"stroller2","yep..",0,1366689757,1366689757
5,5,"New TV","32\" HDTV with HDMI inputs",0,1367231698,1367231698
6,2,"Fridge","I want a fridge that is cold instead of warm.",0,1367272919,1367272919
7,7,"Stroller","I need this by this and this date.. please help",0,1367288967,1367288967
8,7,"TV","I'm looking for a new TV, preferably 42\" or larger, 1080p. Not in the market for anything 3D. I would like something that I can connect a surround sound system to.",0,NULL,NULL
9,4,"Honda CRX Seats","Looking for two new seats for my 1988 Honda CRX.",0,1367309741,1367309741
11,5,"new women's shoes","new women's shoes",0,1367428862,1367795811
12,5,"Chair","lounging around",0,1367686213,1367686213
13,5,"sofa set","two seater and a three seater sofa set",0,1367686544,1367686544
14,5,"Test run #1","testing this feature",0,1367795849,1367796120
